x,y,z,x_quat,y_quat,z_quat,w_quat,speed
3825.715851425808,73724.17401614736,0.0,0.0,0.0,-0.9711699493103795,0.2383881908914009,5.0
3825.272335316055,73723.94247922902,0.0,0.0,0.0,-0.9712034676518181,0.23825159898956388,5.0
3824.828819206302,73723.7109423107,0.0,0.0,0.0,-0.9712034676518431,0.23825159898946185,5.0
3824.3853030965483,73723.47940539237,0.0,0.0,0.0,-0.9712034676503074,0.23825159899572199,5.0
3823.9417869867953,73723.24786847403,0.0,0.0,0.0,-0.9712034676518431,0.23825159898946185,5.0
3823.4982708770417,73723.01633155571,0.0,0.0,0.0,-0.9712221919375773,0.23817525876540527,5.0
3823.054682011704,73722.78493410625,0.0,0.0,0.0,-0.9712583767935552,0.23802765702402823,5.0
3822.611025235,73722.55366683957,0.0,0.0,0.0,-0.9712758381344009,0.2379563957037447,5.0
3822.1673684582966,73722.32239957286,0.0,0.0,0.0,-0.9712758381344009,0.2379563957037447,5.0
3821.7237116815927,73722.09113230617,0.0,0.0,0.0,-0.9712758381344259,0.23795639570364266,5.0
3821.280054904889,73721.85986503947,0.0,0.0,0.0,-0.9712948697043756,0.23787870036209618,5.0
3820.836324170039,73721.62873975025,0.0,0.0,0.0,-0.9712574351177938,0.23803149944577606,5.0
3820.3928130604113,73721.39719337456,0.0,0.0,0.0,-0.9711898383439413,0.23830715032803584,5.0
3819.949344984107,73721.16556446993,0.0,0.0,0.0,-0.971178754115849,0.2383523181216986,5.0
3819.505876907803,73720.9339355653,0.0,0.0,0.0,-0.971178754115849,0.2383523181216986,5.0
3819.062408831499,73720.70230666068,0.0,0.0,0.0,-0.971178754115874,0.2383523181215966,5.0
3818.6189407551947,73720.47067775605,0.0,0.0,0.0,-0.971178754115849,0.2383523181216986,5.0
3818.175472678891,73720.23904885142,0.0,0.0,0.0,-0.9711883977506842,0.238313021202071,5.0
3817.731967125676,73720.00749172943,0.0,0.0,0.0,-0.9712093310283645,0.23822769638192104,5.0
3817.288417677593,73719.77601868291,0.0,0.0,0.0,-0.9712206200780698,0.23818166834408092,5.0
3816.8448682295093,73719.54454563638,0.0,0.0,0.0,-0.9712206200780698,0.23818166834408092,5.0
3816.401318781426,73719.31307258987,0.0,0.0,0.0,-0.9712206200796051,0.23818166833782003,5.0
3815.9577693333426,73719.08159954335,0.0,0.0,0.0,-0.9712260312394125,0.23815960245797288,5.0
3815.514198853384,73718.85016680817,0.0,0.0,0.0,-0.9712381402026369,0.23811021610952143,5.0
3815.070602333624,73718.61878398294,0.0,0.0,0.0,-0.9712448377373031,0.23808289558185372,5.0
3814.6270058138634,73718.38740115768,0.0,0.0,0.0,-0.9712448377373031,0.23808289558185372,5.0
3814.183409294103,73718.15601833245,0.0,0.0,0.0,-0.971244837738863,0.2380828955754898,5.0
3813.739812774342,73717.92463550721,0.0,0.0,0.0,-0.9712438762090745,0.23808681804411594,5.0
3813.296219993532,73717.69324551651,0.0,0.0,0.0,-0.9712256326911541,0.2381612277505877,5.0
3812.852694402802,73717.46172676019,0.0,0.0,0.0,-0.9712083456033717,0.23823171373761667,5.0
3812.4091688120725,73717.23020800386,0.0,0.0,0.0,-0.9712083456033717,0.23823171373761667,5.0
3811.965643221343,73716.99868924754,0.0,0.0,0.0,-0.9712083456033717,0.23823171373761667,5.0
3811.522117630613,73716.76717049122,0.0,0.0,0.0,-0.9712083456033717,0.23823171373761667,5.0
3811.0785920398835,73716.5356517349,0.0,0.0,0.0,-0.9712083456033717,0.23823171373761667,5.0
3810.635066449154,73716.30413297858,0.0,0.0,0.0,-0.9713161130065378,0.23779194396335374,5.0
3810.1911226655343,73716.07341808538,0.0,0.0,0.0,-0.9713304992282814,0.23773317242012676,5.0
3809.747541128656,73715.84200671964,0.0,0.0,0.0,-0.9712292856613584,0.23814633038056177,5.0
3809.3039901596535,73715.61053658754,0.0,0.0,0.0,-0.9712214025787459,0.23817847756036553,5.0
3808.860439190651,73715.37906645544,0.0,0.0,0.0,-0.9712214025772106,0.2381784775666264,5.0
3808.4168882216486,73715.14759632332,0.0,0.0,0.0,-0.971219507337188,0.23818620566210338,5.0
3807.9733446206387,73714.91611207406,0.0,0.0,0.0,-0.9712138408855652,0.23820930979352617,5.0
3807.529815679287,73714.68459973672,0.0,0.0,0.0,-0.9712100694889629,0.2382246857973449,5.0
3807.086286737935,73714.45308739936,0.0,0.0,0.0,-0.9712100694889629,0.2382246857973449,5.0
3806.6427577965833,73714.22157506202,0.0,0.0,0.0,-0.9712100694905237,0.2382246857909823,5.0
3806.199228855231,73713.99006272468,0.0,0.0,0.0,-0.971210069488988,0.23822468579724268,5.0
3805.755699913879,73713.75855038733,0.0,0.0,0.0,-0.9712124855084893,0.23821483579412628,5.0
3805.312161581462,73713.5270560435,0.0,0.0,0.0,-0.9712184890032932,0.23819035794540488,5.0
3804.8686093028577,73713.29558842092,0.0,0.0,0.0,-0.9712220763551015,0.23817573008282217,5.0
3804.425057024253,73713.06412079833,0.0,0.0,0.0,-0.9712220763551015,0.23817573008282217,5.0
3803.9815047456486,73712.83265317575,0.0,0.0,0.0,-0.9712220763551015,0.23817573008282217,5.0
3803.537952467044,73712.60118555315,0.0,0.0,0.0,-0.9712142474203922,0.2382076522860699,5.0
3803.0944306289766,73712.3696596201,0.0,0.0,0.0,-0.9711962089280746,0.23828118634028925,5.0
3802.6509484722847,73712.13805767526,0.0,0.0,0.0,-0.9711859986354513,0.23832279801660028,5.0
3802.207466315593,73711.90645573041,0.0,0.0,0.0,-0.9711859986369873,0.2383227980103407,5.0
3801.763984158901,73711.67485378557,0.0,0.0,0.0,-0.9711859986369873,0.2383227980103407,5.0
3801.3205020022097,73711.44325184073,0.0,0.0,0.0,-0.9711859986354513,0.23832279801660028,5.0
3800.8770198455177,73711.21164989588,0.0,0.0,0.0,-0.9712044957186937,0.2382474081617635,5.0
3800.433465818047,73710.98018567589,0.0,0.0,0.0,-0.9712411711750063,0.2380978526039285,5.0
3799.989841090869,73710.74885693665,0.0,0.0,0.0,-0.9712593497353341,0.23802368695509263,5.0
3799.5462163636907,73710.51752819742,0.0,0.0,0.0,-0.9712593497337995,0.23802368696135462,5.0
3799.102591636513,73710.28619945818,0.0,0.0,0.0,-0.9712593497337745,0.23802368696145662,5.0
3798.658966909335,73710.05487071894,0.0,0.0,0.0,-0.9712493734711165,0.23806439156657505,5.0
